report,captured,size_mb,notes
Report20260605-2118.diagsession,20260605-2118,79.62,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2126.diagsession,20260605-2126,63.13,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2205.diagsession,20260605-2205,217.01,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2210.diagsession,20260605-2210,54.62,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2301.diagsession,20260605-2301,52.70,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2310.diagsession,20260605-2310,52.64,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2322.diagsession,20260605-2322,49.91,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2329.diagsession,20260605-2329,47.45,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2334.diagsession,20260605-2334,50.89,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2343.diagsession,20260605-2343,8.83,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260605-2351.diagsession,20260605-2351,8.75,"initial CPU/memory diagnostics and early solver-preview profiling"
Report20260606-1319.diagsession,20260606-1319,9.90,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1337.diagsession,20260606-1337,52.36,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1350.diagsession,20260606-1350,57.80,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1405.diagsession,20260606-1405,53.75,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1420.diagsession,20260606-1420,49.23,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1426.diagsession,20260606-1426,51.14,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1433.diagsession,20260606-1433,47.78,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1443.diagsession,20260606-1443,56.97,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1456.diagsession,20260606-1456,50.65,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1506.diagsession,20260606-1506,56.58,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1520.diagsession,20260606-1520,57.01,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1532.diagsession,20260606-1532,66.72,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1548.diagsession,20260606-1548,52.85,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1602.diagsession,20260606-1602,58.48,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1611.diagsession,20260606-1611,54.48,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1627.diagsession,20260606-1627,51.61,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1637.diagsession,20260606-1637,65.24,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1655.diagsession,20260606-1655,69.36,"CPU solver architecture, diffusion, wrap/no-wrap, and preview comparisons"
Report20260606-1724.diagsession,20260606-1724,63.21,"granular timing, sensing/movement, and boundary optimization"
Report20260606-1758.diagsession,20260606-1758,56.37,"granular timing, sensing/movement, and boundary optimization"
Report20260606-1823.diagsession,20260606-1823,61.53,"granular timing, sensing/movement, and boundary optimization"
Report20260616-2233.diagsession,20260616-2233,64.89,"wrap/no-wrap behavior stabilization and voxel architecture checkpoint"
Report20260616-2241.diagsession,20260616-2241,64.42,"wrap/no-wrap behavior stabilization and voxel architecture checkpoint"
Report20260617-0207.diagsession,20260617-0207,58.73,"wrap/no-wrap behavior stabilization and voxel architecture checkpoint"
Report20260619-1603.diagsession,20260619-1603,64.19,"solver output timing and CPU voxel-output optimization"
Report20260619-1621.diagsession,20260619-1621,59.55,"solver output timing and CPU voxel-output optimization"
Report20260619-1642.diagsession,20260619-1642,61.56,"solver output timing and CPU voxel-output optimization"
Report20260619-1650.diagsession,20260619-1650,64.49,"solver output timing and CPU voxel-output optimization"
Report20260622-1406.diagsession,20260622-1406,50.22,"diffuse-range fixes and prefix/running-sum diffusion work"
Report20260622-1446.diagsession,20260622-1446,79.19,"diffuse-range fixes and prefix/running-sum diffusion work"
Report20260622-1510.diagsession,20260622-1510,61.77,"GPU/preview architecture and automatic preview detection"
Report20260622-1518.diagsession,20260622-1518,61.37,"GPU/preview architecture and automatic preview detection"
Report20260622-1530.diagsession,20260622-1530,75.09,"GPU/preview architecture and automatic preview detection"
Report20260622-1540 (2).diagsession,20260622-1540,51.96,"GPU/preview architecture and automatic preview detection"
