track,run_id,label,samples,particles,voxels,resolution,median_ms_per_frame,fps_equivalent,speedup_vs_track_start,notes
CPU,20260606-172546,"First reliable CPU telemetry",5,900000,9000000,3000x3000x1,713.596,1.40,1.00,"Wrap on, diffuse range 1, 2D field."
CPU,20260606-183315,"After sensing and movement cleanup",5,900000,9000000,3000x3000x1,554.606,1.80,1.29,"Same repeated 900k / 9M CPU workload."
CPU,20260619-162210,"After output and timing reductions",6,900000,9000000,3000x3000x1,421.144,2.37,1.69,"Same repeated 900k / 9M CPU workload."
CPU,20260619-165127,"Best stable CPU repeated run",11,900000,9000000,3000x3000x1,271.026,3.69,2.63,"Best repeated CPU run found in this timing file."
CPU,20260622-144628,"Generalized diffusion path",35,900000,9000000,3000x3000x1,307.598,3.25,2.32,"Prefix/running-sum diffusion path; kept for larger diffuse ranges."
GPU,20260624-145351,"Early 2D GPU solver",50,625000,6250000,2500x2500x1,31.934,31.31,1.00,"2D GPU field."
GPU,20260624-162403,"3D GPU stress run",21,1000000,1000000,100x100x100,23.894,41.85,1.34,"Clean 1M-particle 3D GPU run."
GPU,20260624-164623,"Later 1M-particle 3D GPU run",36,1000000,1000000,100x100x100,22.958,43.56,1.39,"Same particle/voxel scale as previous 1M-particle 3D run."
GPU,20260624-164721,"Stable 300k-particle 3D GPU run",28,300000,1000000,100x100x100,9.148,109.31,3.49,"Lower particle count; useful interactive baseline."
GPU,20260624-165518,"Large voxel-field 3D GPU run",84,300000,42875000,350x350x350,10.957,91.27,2.91,"Much larger voxel field; median excludes spike behavior better than average."
